DTC Kodu,Başlık,Alt Sistem,Öncelik,Neden Sayısı,Adım Sayısı
U0006,High Speed CAN Communication Bus (-) Open,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0007,High Speed CAN Communication Bus (-) Low,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0008,High Speed CAN Communication Bus (-) High,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0009,High Speed CAN Communication Bus (-) shorted to Bus (+),CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0010,Medium Speed CAN Communication Bus,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0011,Medium Speed CAN Communication Bus Performance,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0012,Medium Speed CAN Communication Bus (+) Open,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0013,Medium Speed CAN Communication Bus (+) Low,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0014,Medium Speed CAN Communication Bus (+) High,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0015,Medium Speed CAN Communication Bus (-) Open,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
P0001,Fuel Volume Regulator Control Circuit/Open,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,2,3
P0002,Fuel Volume Regulator Control Circuit Range/Performance,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,2,3
P0003,Fuel Volume Regulator Control Circuit Low,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,2,3
P0004,Fuel Volume Regulator Control Circuit High,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,2,3
P0005,Fuel Shutoff Valve A Control Circuit/Open,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,3,3
P0006,"Fuel Shutoff Valve ""A"" Control Circuit Low",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,7,3
P0007,"Fuel Shutoff Valve ""A"" Control Circuit High",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,3,3
P0008,Engine Positions System Performance Bank 1,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,3,3
P0009,Engine Positions System Performance Bank 2,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,3,3
P0012,"""A"" Camshaft Position - Timing Over-Retarded (Bank 1)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,14,3
P0013,"""B"" Camshaft Position Actuator Circuit (Bank 1)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,4,3
P0015,"""B"" Camshaft Position - Timing Over-Retarded (Bank 1)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,8,3
P0017,Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor B),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,11,3
P0018,Crankshaft Position - Camshaft Position Correlation (Bank 2 Sensor A),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,6,3
P0019,Crankshaft Position - Camshaft Position Correlation (Bank 2 Sensor B),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,6,3
C0001,TCS Control Channel A Valve 1,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0002,TCS Control Channel A Valve 2,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0003,TCS Control Channel B Valve 1,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0004,TCS Control Channel B Valve 2,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0005,C0005 - ISO/SAE Reserved (üretici ataması yok),"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0006,C0006 - ISO/SAE Reserved (üretici ataması yok),"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0007,C0007 - ISO/SAE Reserved (üretici ataması yok),"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0008,C0008 - ISO/SAE Reserved (üretici ataması yok),"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0009,C0009 - ISO/SAE Reserved (üretici ataması yok),"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0010,Left Front Inlet Control,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0011,Left Front Outlet Control,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0012,Left Front Hydraulic Release Too Long,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0013,C0013 - ISO/SAE Reserved (üretici ataması yok),"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0014,Right Front Inlet Control,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0015,Right Front Outlet Control,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
B0001,Body Code DTC,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0002,Body Code DTC,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0003,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0004,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0005,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0006,B0006 - ISO/SAE Reserved (üretici ataması yok),"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0007,B0007 - ISO/SAE Reserved (üretici ataması yok),"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0008,B0008 - ISO/SAE Reserved (üretici ataması yok),"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0009,B0009 - ISO/SAE Reserved (üretici ataması yok),"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0010,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0011,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0012,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0013,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0014,Right Front/Passenger Frontal Deployment Loop Circuit,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0015,B0015 - ISO/SAE Reserved (üretici ataması yok),"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
U0016,Medium Speed CAN Communication Bus (-) Low,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0017,Medium Speed CAN Communication Bus (-) High,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0018,Medium Speed CAN Communication Bus (-) shorted to Bus (+),CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0019,Low Speed CAN Communication Bus,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0020,Low Speed CAN Communication Bus Performance,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0021,Low Speed CAN Communication Bus (+) Open,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0022,Low Speed CAN Communication Bus (+) Low,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0023,Low Speed CAN Communication Bus (+) High,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0024,Low Speed CAN Communication Bus (-) Open,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0025,Low Speed CAN Communication Bus (-) Low,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0026,Low Speed CAN Communication Bus (-) High,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0027,Low Speed CAN Communication Bus (-) shorted to Bus (+),CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0028,Vehicle Communication Bus A,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0029,Vehicle Communication Bus A Performance,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0030,Vehicle Communication Bus A (+) Open,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0031,Vehicle Communication Bus A (+) Low,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0032,Vehicle Communication Bus A (+) High,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0033,Vehicle Communication Bus A (-) Open,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0034,Vehicle Communication Bus A (-) Low,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0035,Vehicle Communication Bus A (-) High,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0036,Vehicle Communication Bus A (-) shorted to Bus A (+),CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0037,Vehicle Communication Bus B,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0038,Vehicle Communication Bus B Performance,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0039,Vehicle Communication Bus B (+) Open,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0040,Vehicle Communication Bus B (+) Low,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0041,Vehicle Communication Bus B (+) High,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0042,Vehicle Communication Bus B (-) Open,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0043,Vehicle Communication Bus B (-) Low,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0044,Vehicle Communication Bus B (-) High,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0045,Vehicle Communication Bus B (-) shorted to Bus B (+),CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
P2000,NOx Trap Efficiency Below Threshold Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2001,NOx Trap Efficiency Below Threshold Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2002,Diesel Particulate Filter Efficiency Below Threshold B1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,6,3
P2003,Diesel Particulate Filter Efficiency Below Threshold B2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,6,3
P2004,Intake Manifold Runner Control Stuck Open Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,6,3
P2005,Intake Manifold Runner Control Stuck Open Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,6,3
P2006,Intake Manifold Runner Control Stuck Closed Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,6,4
P2007,Intake Manifold Runner Control Stuck Closed Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,6,4
P2008,Intake Manifold Runner Circuit Open Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,6,4
P2009,Intake Manifold Runner Control Circuit Low Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,6,4
P2010,Intake Manifold Runner Control Circuit High Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,6,4
P2011,Intake Manifold Runner Circuit Open Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,6,4
P2012,Intake Manifold Runner Control Circuit Low Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,6,4
P2013,Intake Manifold Runner Control Circuit High Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,6,4
P2014,Intake Manifold Runner Position Sensor / Switch Circuit Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2015,Intake Manifold Runner Position Sensor / Switch Circuit Range Perf Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2016,Intake Manifold Runner Position Sensor / Switch Circuit Low Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,4,3
P2017,Intake Manifold Runner Position Sensor / Switch Circuit High Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,4,3
P2018,Intake Manifold Runner Position Sensor / Switch Circuit Intermittent Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,4,3
P2019,Intake Manifold Runner Position Sensor / Switch Circuit Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2020,Intake Manifold Runner Position Sensor / Switch Circuit Range Perf Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2021,Intake Manifold Runner Position Sensor / Switch Circuit Low Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,4,3
P2022,Intake Manifold Runner Position Sensor / Switch Circuit High Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,4,3
P2023,Intake Manifold Runner Position Sensor / Switch Circuit Intermittent Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,4,3
P2024,EVAP Fuel Vapor Temp Sensor Circuit,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2025,EVAP Fuel Vapor Temp Sensor Range,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2026,EVAP Fuel Vapor Temp Sensor Circuit Low,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2027,EVAP Fuel Vapor Temp Sensor Circuit High,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2028,EVAP Fuel Vapor Temp Sensor Circuit Intermittent,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2029,Fuel Fired Heater Disabled,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",CRITICAL_STOP,5,3
P0020,"""B"" Camshaft Position Actuator Circuit (Bank 2)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,2
P0021,"""A"" Camshaft Position - Timing Over-Advanced or System Performance (Bank 2)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
P0022,"""A"" Camshaft Position - Timing Over-Retarded (Bank 2)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
P0023,"""B"" Camshaft Position Actuator Circuit (Bank 2)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,4,3
P0024,"""B"" Camshaft Position - Timing Over-Advanced or System Performance (Bank 2)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
P0025,"""B"" Camshaft Position - Timing Over-Retarded (Bank 2)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
P0026,Intake Valve Control Solenoid Circuit Range/Perf. B1,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
P0027,Exhaust Valve Control Solenoid Circuit Range/Perf. B1,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
P0028,Intake Valve Control Solenoid Circuit Range/Perf. B2,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
P0029,Exhaust Valve Control Solenoid Circuit Range/Perf. B2,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
P0031,Oxygen (A/F) Sensor Heater Control Circuit Low (Bank 1 Sensor 1),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,4
P0032,Oxygen (A/F) Sensor Heater Control Circuit High (Bank 1 Sensor 1),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,4
P0033,Turbo Charger Bypass Valve Control Circuit,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,6,3
P0034,Turbo Charger Bypass Valve Control Circuit Low,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,6,3
P0035,Turbo Charger Bypass Valve Control Circuit High,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,6,4
P0036,Heated Oxygen Sensor Control Circuit B1S2,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,4,3
P0037,HO2S Heater Control Circuit Low B1S2,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,3
P0038,HO2S Heater Control Circuit High (Bank 1 Sensor 2),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,CRITICAL_STOP,6,3
P0039,Turbo Charger Bypass Valve Control Circuit Range Performance,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,6,4
P0040,O2 Sensor Signals Swapped Bank 1 Bank 2 Sensor 1,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,4,3
P0041,O2 Sensor Signals Swapped Bank 1 Bank 2 Sensor 2,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,4,3
P0042,Heated Oxygen Sensor Control Circuit B1S3,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,4,3
P0043,HO2S Heater Control Circuit Low B1S3,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,3
P0044,HO2S Heater Control Circuit High (Bank 1 Sensor 3),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,CRITICAL_STOP,6,3
P0045,Turbo/Supercharger Boost Control A Circuit Open,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,4
P0046,Turbo/Supercharger Boost Control A Circuit Range Performance,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,4
P0047,Turbo/Supercharger Boost Control A Circuit Low,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,4
P0048,Turbo/Supercharger Boost Control A Circuit High,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,4
P0049,Turbo / Supercharger Turbine Overspeed,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,3
P0050,HO2S Heater Control Circuit B2S1,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,3
C0016,Right Front Hydraulic Release Too Long,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0017,C0017 - ISO/SAE Reserved (üretici ataması yok),"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0018,Left Rear Inlet Control,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0019,Left Rear Outlet Control,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0020,ABS Pump Motor Control,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0021,Brake Booster Performance,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0022,Brake Booster Solenoid,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0023,Stop Lamp Control,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0024,Brake Pedal Feedback Pressure Solenoid Circuit,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0025,Brake Pedal Feedback Pressure Sensor Circuit,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0026,C0026 - ISO/SAE Reserved (üretici ataması yok),"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0027,C0027 - ISO/SAE Reserved (üretici ataması yok),"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0028,C0028 - ISO/SAE Reserved (üretici ataması yok),"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0029,C0029 - ISO/SAE Reserved (üretici ataması yok),"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0030,Left Front Tone Wheel,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0031,Left Front Wheel Speed Sensor,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0032,Left Front Wheel Speed Sensor Supply,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0033,Right Front Tone Wheel,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0034,Right Front Wheel Speed Sensor,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0035,Right Front Wheel Speed Sensor Supply,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0036,Left Rear Tone Wheel,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0037,Left Rear Wheel Speed Sensor,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0038,Left Rear Wheel Speed Sensor Supply,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0039,Right Rear Tone Wheel,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0040,Brake Pedal Switch A,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0041,Brake Pedal Switch B,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0042,Brake Pedal Position Sensor Circuit A,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0043,Brake Pedal Position Sensor Circuit B,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0044,Brake Pressure Sensor A,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0045,Brake Pressure Sensor B,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
B0016,Right Front/Passenger Frontal Deployment Loop (Single Stage or Stage 1) Resistance Low,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0017,Right Front/Passenger Frontal Deployment Loop (Single Stage or Stage 1) Open,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0018,Center Frontal Stage 1 Deployment Control,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0019,Center Frontal Stage 2 Deployment Control,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0020,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0021,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0022,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
